,0,1
0,-3.5482526,-29.957281
1,-6.6877284,-32.753025
2,-3.5227134,-31.116041
3,-3.8010662,-30.722328
4,-54.02495,8.141972
5,-55.631725,6.1353245
6,-1.6610287,-27.36723
7,-55.772343,8.348184
8,-8.669205,-23.125761
9,-55.713707,8.0778
10,-6.2973027,-23.618895
11,-6.535475,-25.403479
12,-6.986876,-25.710548
13,-6.2230463,-24.919197
14,-49.716675,6.4187036
15,-6.2325945,-25.057627
16,-48.367172,6.230482
17,-51.42312,3.6127408
18,-46.706657,8.164642
19,-50.627716,10.220499
20,5.216327,9.092652
21,3.4063728,11.936117
22,5.3890533,5.443866
23,4.6997724,5.0657883
24,3.0674105,4.1926455
25,7.429462,8.425048
26,7.279378,8.051133
27,6.229284,6.1191573
28,8.502173,10.959078
29,-13.804821,41.105137
30,1.3940977,3.359885
31,4.8238773,16.923134
32,1.3774928,3.3496313
33,-31.948017,-31.835283
34,-12.68579,24.907793
35,-30.877602,-29.618084
36,-31.267841,-31.529402
37,-15.176414,22.837908
38,-14.898032,42.82305
39,-13.53863,20.208132
40,-12.745669,43.702923
41,-15.020217,22.94091
42,-11.713158,26.156847
43,-12.623827,24.999279
44,-31.48614,-29.712606
45,-31.929676,-29.062658
46,-26.954958,-27.87658
47,-0.97373796,29.299181
48,33.888805,-19.742046
49,-3.0655344,28.123863
50,-3.8666754,28.624834
51,-2.2279756,24.569986
52,-3.3924735,29.731018
53,-1.1224233,21.532848
54,-2.394821,21.675951
55,-1.0874741,21.12343
56,-0.12533021,21.392626
57,-0.8890775,29.591995
58,-0.62626296,30.155312
59,-2.2968833,22.348856
60,-4.9861174,22.219135
61,-1.0048555,30.805897
62,-35.774857,-26.629038
63,-5.402857,22.41266
64,-35.52091,-26.696474
65,33.409027,-22.525719
66,19.094828,8.16737
67,27.589561,-22.080915
68,27.415598,-21.991114
69,19.9268,3.8533034
70,22.152657,4.777753
71,27.685743,-22.120348
72,35.22869,30.156557
73,20.904985,4.4865146
74,35.617535,31.490742
75,23.746181,9.359689
76,13.400574,41.89831
77,22.702095,7.6897454
78,22.748302,8.195158
79,24.783201,10.1433935
80,27.818632,9.722821
81,14.382352,41.571335
82,11.723992,41.604214
83,12.23556,41.19217
84,-18.258354,-1.9556493
85,11.637485,40.826637
86,-22.04642,-3.4177885
87,-20.62554,-4.5093727
88,-21.167305,-2.920312
89,-21.232231,-1.9105649
90,18.212605,-41.015957
91,17.69407,-43.28328
92,-12.619006,-0.09054086
93,-12.596946,-0.14783834
94,18.24255,-41.065857
95,16.49573,-43.561935
96,-14.274101,1.1802015
97,15.475579,-42.76676
98,-11.67008,0.09540673
99,-14.566819,0.18269897
100,16.49302,-30.548952
101,14.477655,-21.546267
102,13.873894,-19.660816
103,17.611021,-25.021212
104,16.52793,-15.14514
105,18.35561,-29.882738
106,20.15132,-14.735163
107,14.701639,-26.383764
108,14.956777,-26.594269
109,19.254732,-14.868066
110,20.781275,-19.675425
111,21.501665,-19.85418
112,22.180723,-19.919775
113,21.26544,-18.476494
114,19.148783,-18.59544
115,20.958439,-20.149006
116,20.4746,-17.502384
117,20.942497,-26.749716
118,20.92679,-26.462282
119,22.919128,-28.12034
120,22.636944,-25.021412
121,-4.000086,-31.55705
122,-3.5100362,-31.265556
123,-6.9793053,-32.124847
124,-5.4319015,-33.15297
125,-55.690422,5.5719414
126,-55.108387,7.290685
127,-1.8099346,-27.223707
128,-54.616356,6.5725946
129,-53.724087,5.441797
130,-52.572926,7.334308
131,-9.207562,-24.052958
132,-9.1200905,-24.173553
133,-6.917796,-25.83119
134,-8.24018,-24.443521
135,-8.437796,-24.363579
136,-5.7964416,-22.438667
137,-47.10066,7.0626597
138,-50.627678,10.192392
139,-47.21253,6.499347
140,-50.680084,10.1895
141,5.28163,9.276825
142,5.3561115,9.500328
143,2.4943776,12.518063
144,-11.217216,39.675026
145,5.6202016,5.742725
146,6.676255,6.787373
147,-12.488314,40.713287
148,4.3104734,8.092865
149,-14.08908,41.106853
150,5.1488967,16.855934
151,13.918233,9.849087
152,14.360121,10.246978
153,-14.898229,41.534775
154,-13.992718,23.448172
155,-33.26055,-29.318092
156,-33.408764,-32.260124
157,-13.319156,19.662037
158,-15.338317,22.546509
159,-33.167053,-32.488354
160,-14.304211,42.859955
161,-15.02868,20.953228
162,-34.171707,-31.801912
163,-13.430563,43.386898
164,-12.907825,19.421524
165,-32.81071,-29.377151
166,-3.0760472,28.122972
167,16.285099,4.61756
168,-0.8282108,32.599216
169,-34.671787,-26.823414
170,-3.460124,30.058569
171,-3.321669,29.843985
172,-0.9002879,21.754427
173,-2.2122135,24.642101
174,-37.56622,-28.460323
175,-0.47341833,22.913115
176,-28.280853,-26.455587
177,-5.3446803,22.665047
178,16.94352,4.1710644
179,-4.4229846,29.750114
180,-4.218461,29.853912
181,-34.904415,-26.623207
182,16.377443,5.0753655
183,-36.21781,-26.9908
184,34.191788,-22.353699
185,-36.179413,-27.252417
186,-35.93588,-26.480913
187,-5.436684,22.39296
188,35.057144,28.653362
189,34.34653,32.307987
190,34.692516,28.604826
191,33.489178,31.63991
192,34.222054,32.50251
193,34.626152,30.85126
194,34.332108,31.156544
195,22.498281,4.7655106
196,20.926853,4.479994
197,13.136383,41.12472
198,22.981384,8.791447
199,13.615464,41.321056
200,26.929237,9.600374
201,15.141557,41.407795
202,25.132198,6.9991865
203,15.032189,40.55624
204,11.484483,41.478863
205,-19.362568,-0.7743978
206,11.04728,40.776714
207,-18.908663,-1.071737
208,-22.056843,-3.3155208
209,-19.520315,-5.341184
210,-21.944117,-3.2636542
211,-13.91422,-0.49861184
212,-19.195234,-4.6476436
213,-12.088094,0.17299135
214,-12.259731,1.0128188
215,18.076145,-41.125263
216,15.9769945,-42.770874
217,18.236256,-41.593567
218,-12.013504,0.32608193
219,18.488394,-43.08005
220,-14.477553,-0.10893853
221,14.051789,-20.254086
222,-12.686072,1.3135313
223,18.294256,-30.653185
224,17.63612,-30.874863
225,16.833738,-13.496744
226,17.333963,-13.193115
227,16.563343,-15.816608
228,23.970997,-15.65537
229,15.485304,-17.688465
230,14.493023,-24.73459
231,16.037748,-15.092458
232,22.319626,-17.215637
233,19.690067,-18.344255
234,20.998657,-20.107498
235,21.533352,-25.170853
236,22.270514,-24.320625
237,21.345232,-25.12596
238,21.119131,-17.150433
239,21.009792,-26.494165
240,21.891155,-18.989285
241,23.225878,-25.985014
242,-3.5767994,-31.366499
243,-3.722514,-32.215233
244,-7.0518627,-32.04045
245,-3.743308,-30.971024
246,-54.074635,9.089826
247,-54.135456,8.114694
248,-52.70317,6.4906025
249,-7.0810776,-30.81154
250,-55.707382,8.047711
251,-54.58154,6.8539786
252,-54.443703,6.2046885
253,-6.404008,-25.389248
254,-6.15626,-24.789927
255,-6.236786,-23.609747
256,-50.940548,9.652755
257,-49.96643,11.38421
258,-50.192287,11.03696
259,-47.640347,6.140473
260,-46.95427,7.7729106
261,-47.698742,6.3664494
262,3.6849093,11.752437
263,4.231875,11.3660555
264,-11.245941,39.766598
265,-11.227446,39.715797
266,4.654411,8.496841
267,6.2982535,5.989844
268,4.3988786,8.231201
269,2.915133,4.126964
270,2.0327349,3.692427
271,8.414486,10.720456
272,14.517924,10.406892
273,14.047697,9.966108
274,-13.706378,23.71159
275,8.549368,11.07666
276,-14.809858,42.07401
277,-31.752644,-31.884232
278,-35.561146,-31.341211
279,-15.0338,20.77971
280,-31.586206,-31.872028
281,-34.76352,-31.21474
282,-13.495776,19.963533
283,-14.834163,20.78185
284,-13.457424,19.692234
285,-34.078773,-32.046658
286,-13.631087,43.739414
287,-32.503582,-28.66234
288,33.78098,-18.768108
289,-31.933104,-28.399187
290,-3.5233576,30.0216
291,-1.8154945,32.510162
